Search Query,Clicks,Impressions,CTR,Average Position
android clear canvas,0,1,0.00%,76
android clothing,0,11,0.00%,3
android cup,0,2,0.00%,8.5
android cups,0,1,0.00%,22
android decal,0,11,0.00%,12
android decals,0,3,0.00%,5.3
android dev shop,0,4,0.00%,63
android developer t shirt,0,5,0.00%,7.4
android doll,0,18,0.00%,9.3
android eating apple shirt,0,1,0.00%,76
android figur,0,8,0.00%,29
android figura,0,1,0.00%,10
android figures,0,14,0.00%,9.9
android figurines,0,13,0.00%,9.5
android fun,0,2,0.00%,45
android geek,0,1,0.00%,15
android gel,0,1,0.00%,9
android hat,0,10,0.00%,1.3
android homme shirts,0,2,0.00%,97
android laptop stickers,0,3,0.00%,6
android logo toy,0,1,0.00%,7
android mascot,0,3,0.00%,86
android mascot toy,0,2,0.00%,6
android matrix,0,3,0.00%,33
android notebook,0,14,0.00%,35
android notebooks,0,9,0.00%,17
android phone stickers,0,1,0.00%,10
android play store,0,1,0.00%,98
android plush,0,20,0.00%,8.6
android plush toy,0,2,0.00%,8
android plushie,0,9,0.00%,6.3
android pride.com,0,1,0.00%,6
android puzzlebot,0,1,0.00%,77
android robot figure,0,2,0.00%,9.5
android robot toy,0,14,0.00%,9.5
android shirts,0,4,0.00%,1.3
android shopping,0,2,0.00%,10
android shops,0,2,0.00%,17
android socks,0,11,0.00%,7.9
android squishable,0,1,0.00%,46
android sticker pack,0,1,0.00%,36
android sticker view,0,1,0.00%,22
android stickers,0,169,0.00%,4.7
android store,0,4,0.00%,42
android store google,0,1,0.00%,55
android studio price,0,1,0.00%,98
android stuffed animal,0,4,0.00%,7.8
android sweatshirt,0,8,0.00%,4
android t,0,2,0.00%,6.5
android t shirt india,0,1,0.00%,10
android t shirts,0,8,0.00%,2.4
android tee,0,13,0.00%,10
android tone,0,1,0.00%,17
android toy store,0,4,0.00%,9.3
android toys,0,40,0.00%,7.5
android trace,0,6,0.00%,10
android world,0,6,0.00%,27
android-25,0,2,0.00%,11
androidgeek,0,1,0.00%,15
androidhoodies,0,6,0.00%,1.3
androidshop,0,5,0.00%,7.4
androidworld,0,16,0.00%,27
angular tshirt,0,1,0.00%,15
aparel,0,7,0.00%,33
aparrel,0,7,0.00%,23
aparrell,0,1,0.00%,22
apo addresses,0,1,0.00%,88
apo mail restrictions,0,1,0.00%,92
apo shipping,0,1,0.00%,93
apo shipping restrictions,0,2,0.00%,57
apo shipping size restrictions,0,1,0.00%,79
apo store,0,1,0.00%,18
apo usa,0,1,0.00%,75
apparael,0,1,0.00%,25
apparal,0,1,0.00%,12
apparall,0,2,0.00%,21
appareal,0,14,0.00%,19
appareal store,0,4,0.00%,2.3
appared,0,1,0.00%,8
appareel,0,3,0.00%,22
apparek,0,1,0.00%,22
apparel,0,967,0.00%,21
apparel & t shirts online store,0,1,0.00%,12
apparel 99,0,4,0.00%,8.5
apparel amp accessories,0,3,0.00%,49
apparel amp gear,0,3,0.00%,41
apparel and merch,0,1,0.00%,10
apparel and merchandise,0,1,0.00%,4
apparel and shirts,0,1,0.00%,43
apparel and tshirts,0,1,0.00%,12
apparel apparel,0,24,0.00%,12
apparel cap,0,2,0.00%,11
apparel clothing store,0,45,0.00%,7.8
apparel cloud,0,2,0.00%,61
apparel for babies,0,1,0.00%,8
apparel for kids,0,1,0.00%,24
apparel for men,0,11,0.00%,55
apparel for men and,0,3,0.00%,120
apparel for toddlers,0,1,0.00%,81
apparel hoodie,0,1,0.00%,62
apparel jelentése,0,2,0.00%,37
apparel men,0,2,0.00%,13
